Dataset,Algorithm,ARI,ACC,F1-Score,Time(s)
iris,OPNs-K-means(a),0.8180 ± nan,0.9333 ± nan,0.9331 ± nan,3.48 ± nan
iris,OPNs-K-means(b),0.9037 ± nan,0.9667 ± nan,0.9667 ± nan,4.09 ± nan
