Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
monk_2,F1,OPNs vs EDK,Paired t-test,3.287548185451972e-07,** (p<0.01),0.32580373828608644,0.270197568508152,0.38140990806402086
monk_2,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.3300068798802977,0.31509792939171943,0.34491583036887596
monk_2,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.35641614628956414,0.30866326277551365,0.40416902980361463
monk_2,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.4101191999933899,0.3184252604483681,0.5018131395384117
monk_2,F1,OPNs vs KKM(l),Paired t-test,0.00011134821426890486,** (p<0.01),0.31578719280929024,0.2058990001512722,0.4256753854673083
monk_2,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.3215490619526521,0.19369005484407784,0.4494080690612263
monk_2,F1,OPNs vs TDEC,Paired t-test,0.0008578983343397848,** (p<0.01),0.12632527949419722,0.06790149015712897,0.18474906883126546
monk_2,F1,OPNs vs ZEUS,Wilcoxon test,0.001953125,** (p<0.01),0.2910950824941972,0.24507526408358127,0.3371149009048131
monk_2,F1,OPNs vs IDC,Paired t-test,1.128056174690093e-06,** (p<0.01),-0.14024576939574365,-0.1678991797634677,-0.11259235902801963
led7digit,F1,OPNs vs EDK,Paired t-test,1.525580626569838e-08,** (p<0.01),0.46515656509687975,0.40935120866101093,0.5209619215327486
led7digit,F1,OPNs vs MDK,Paired t-test,1.028047790075663e-08,** (p<0.01),0.46736036276061654,0.4137482059079906,0.5209725196132425
led7digit,F1,OPNs vs CDK,Paired t-test,4.994028975297272e-10,** (p<0.01),0.4734142309284552,0.43480599500043543,0.512022466856475
led7digit,F1,OPNs vs KKM(p),Paired t-test,0.023799482812880666,* (p<0.05),0.06937447722241238,0.011572465476949338,0.12717648896787542
led7digit,F1,OPNs vs KKM(l),Paired t-test,0.10321706138333106,ns (Not Significant),0.04940021627978883,-0.012233177371052763,0.11103360993063041
led7digit,F1,OPNs vs KKM(r),Paired t-test,0.3622368918816522,ns (Not Significant),0.02881924894168139,-0.039106044860014316,0.0967445427433771
led7digit,F1,OPNs vs TDEC,Paired t-test,8.520095208702106e-06,** (p<0.01),0.18456055289892292,0.13818304753810862,0.23093805825973723
led7digit,F1,OPNs vs ZEUS,Paired t-test,0.010666569714561815,* (p<0.05),-0.08855032980107708,-0.15096237465137563,-0.02613828495077853
led7digit,F1,OPNs vs IDC,Paired t-test,2.2732811307363074e-06,** (p<0.01),-0.16013838991144652,-0.19445002331784636,-0.12582675650504668
appendicitis,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.21379831411816214,0.004993015443583215,0.42260361279274106
appendicitis,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.1307358728163329,0.014541222331034137,0.24693052330163165
appendicitis,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.3368517599289872,0.16604109739378226,0.5076624224641921
appendicitis,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.06850143676157616,-0.003644047740135617,0.14064692126328793
appendicitis,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.20404396401446143,0.09228143749461805,0.3158064905343048
appendicitis,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.08674579324334127,0.01933295438316225,0.15415863210352027
appendicitis,F1,OPNs vs TDEC,Wilcoxon test,0.001953125,** (p<0.01),0.3542189554888328,0.26063564702895853,0.4478022639487071
appendicitis,F1,OPNs vs ZEUS,Paired t-test,0.00036292110039495953,** (p<0.01),0.2169554818888328,0.12830147339547462,0.305609490382191
appendicitis,F1,OPNs vs IDC,Paired t-test,0.46141550032241885,ns (Not Significant),-0.03745435229341709,-0.14758747379074647,0.07267876920391228
ecoli,F1,OPNs vs EDK,Paired t-test,5.067859218945795e-06,** (p<0.01),0.22361389773446208,0.17086179126620316,0.276366004202721
ecoli,F1,OPNs vs MDK,Paired t-test,7.282362290029866e-06,** (p<0.01),0.23954724878994357,0.18049439304309117,0.298600104536796
ecoli,F1,OPNs vs CDK,Paired t-test,0.0001859624674215107,** (p<0.01),0.23123336468954783,0.1450538050125913,0.31741292436650437
ecoli,F1,OPNs vs KKM(p),Paired t-test,0.0008698366939025525,** (p<0.01),-0.1065219233865726,-0.15588789432767383,-0.057155952445471364
ecoli,F1,OPNs vs KKM(l),Paired t-test,0.0006646387945666864,** (p<0.01),-0.10375908728426095,-0.14998195973944073,-0.05753621482908115
ecoli,F1,OPNs vs KKM(r),Paired t-test,0.0076534999240631015,** (p<0.01),-0.07070277810797217,-0.11749803059968117,-0.02390752561626317
ecoli,F1,OPNs vs TDEC,Paired t-test,4.42986783909264e-05,** (p<0.01),-0.2909378408336553,-0.38075011760085653,-0.2011255640664541
ecoli,F1,OPNs vs ZEUS,Paired t-test,0.0007024369622652185,** (p<0.01),0.10412951406634467,0.057366141814935524,0.15089288631775383
ecoli,F1,OPNs vs IDC,Paired t-test,9.375117596752954e-06,** (p<0.01),-0.36411288461665003,-0.45668637622477715,-0.2715393930085229
pima,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.2428267385181629,0.12381034078985956,0.36184313624646625
pima,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.18401886931783867,0.07669048428813886,0.2913472543475385
pima,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.2618549000970677,0.12966401274886755,0.39404578744526786
pima,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.07052663393629179,0.048334922623150825,0.09271834524943275
pima,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.07444842181677304,0.05941943790209449,0.08947740573145159
pima,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.07587122904311118,0.06583563112089334,0.08590682696532902
pima,F1,OPNs vs TDEC,Paired t-test,0.5061641009481173,ns (Not Significant),-0.018959757562088442,-0.08090479102190054,0.04298527589772366
pima,F1,OPNs vs ZEUS,Paired t-test,5.535703638448199e-05,** (p<0.01),0.2184424754379116,0.14905347554998105,0.28783147532584213
pima,F1,OPNs vs IDC,Paired t-test,0.43733622083428203,ns (Not Significant),-0.011261958231595958,-0.04260809910697813,0.02008418264378621
cars,F1,OPNs vs EDK,Paired t-test,4.6782548807598955e-05,** (p<0.01),0.2718984049396483,0.18737566616882415,0.3564211437104724
cars,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.29555056964869636,0.2072687307579713,0.3838324085394214
cars,F1,OPNs vs CDK,Paired t-test,4.369959764915385e-05,** (p<0.01),0.3179582185573725,0.21997542331421366,0.41594101380053133
cars,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.13826009141707657,0.11460395667411973,0.16191622616003343
cars,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.13232400780688341,0.10896814458724607,0.15567987102652076
cars,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.13308733958167035,0.10917247439755332,0.15700220476578738
cars,F1,OPNs vs TDEC,Paired t-test,0.0011221059271832115,** (p<0.01),-0.21580561204015797,-0.3197021129928461,-0.1119091110874698
cars,F1,OPNs vs ZEUS,Wilcoxon test,0.013671875,* (p<0.05),0.12728494805984208,0.04986073638956087,0.2047091597301233
cars,F1,OPNs vs IDC,Paired t-test,0.0003021498217800427,** (p<0.01),-0.1544804107549999,-0.21601288484339112,-0.0929479366666087
saheart,F1,OPNs vs EDK,Wilcoxon test,0.0234375,* (p<0.05),0.19755146377907573,0.09311834573259366,0.3019845818255578
saheart,F1,OPNs vs MDK,Wilcoxon test,0.53515625,ns (Not Significant),0.07449218575541884,-0.026637322216346127,0.1756216937271838
saheart,F1,OPNs vs CDK,Wilcoxon test,0.40625,ns (Not Significant),0.10478004775144167,-0.008688802285509917,0.21824889778839326
saheart,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.22748639875400128,0.21681172856229033,0.23816106894571223
saheart,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.22748639875400128,0.21681172856229033,0.23816106894571223
saheart,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.22748639875400128,0.21681172856229033,0.23816106894571223
