Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
sonar,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.24137892015334614,0.17063662369767266,0.3121212166090196
sonar,F1,OPNs vs TDEC,Wilcoxon test,0.0078125,** (p<0.01),-0.1651708953627199,-0.27332207195973635,-0.05701971876570343
sonar,F1,OPNs vs ZEUS,Paired t-test,8.744304153150506e-05,** (p<0.01),0.1993022466372801,0.13212028164264566,0.26648421163191455
sonar,F1,OPNs vs IDC,Wilcoxon test,0.00390625,** (p<0.01),-0.09729727431283293,-0.12599190023805612,-0.06860264838760972
air,F1,OPNs vs EDK,Paired t-test,3.841897625777764e-07,** (p<0.01),0.2723225825838989,0.22499382771997745,0.31965133744782037
air,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.26833639928415826,0.2232551229984572,0.31341767556985933
air,F1,OPNs vs CDK,Wilcoxon test,0.00390625,** (p<0.01),0.195281807528616,0.11535782754599273,0.2752057875112393
air,F1,OPNs vs KKM(p),Paired t-test,1.0813345030534302e-15,** (p<0.01),0.25451520333266664,0.24966684638271983,0.2593635602826135
air,F1,OPNs vs KKM(l),Paired t-test,1.8224428633285416e-14,** (p<0.01),0.1861447096592746,0.18129024984071113,0.19099916947783807
air,F1,OPNs vs KKM(r),Paired t-test,1.65113253897761e-10,** (p<0.01),0.055278963613027886,0.0512970816851856,0.059260845540870175
air,F1,OPNs vs TDEC,Paired t-test,8.621357548472879e-06,** (p<0.01),-0.37717513230816224,-0.47209100557962347,-0.282259259036701
air,F1,OPNs vs ZEUS,Paired t-test,0.008881097729377656,** (p<0.01),0.06914803989183775,0.02209160193466503,0.11620447784901047
air,F1,OPNs vs IDC,Wilcoxon test,0.001953125,** (p<0.01),-0.45345681128268467,-0.47714445130024924,-0.4297691712651201
iris,ACC,OPNs vs EDK,Paired t-test,2.5378734414508877e-11,** (p<0.01),0.12200000000000003,0.11487297488716322,0.12912702511283683
iris,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.10400000000000006,0.10153727521467795,0.10646272478532218
iris,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.14400000000000013,0.14153727521467802,0.14646272478532224
iris,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.10533333333333342,0.10231712378286127,0.10834954288380556
iris,ACC,OPNs vs KKM(l),Paired t-test,5.859629300113143e-12,** (p<0.01),0.13933333333333336,0.13242232904488968,0.14624433762177705
iris,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.13133333333333336,0.12811447258703254,0.13455219407963417
iris,ACC,OPNs vs TDEC,Paired t-test,0.026277569670409694,* (p<0.05),0.09733320000000008,0.014389080450582806,0.18027731954941734
iris,ACC,OPNs vs ZEUS,Paired t-test,0.005747752157946059,** (p<0.01),0.09066666660000006,0.033694805259619424,0.14763852794038068
iris,ACC,OPNs vs IDC,Paired t-test,0.7899941277150174,ns (Not Significant),0.004000000000000026,-0.028979676530215104,0.03697967653021515
balance,ACC,OPNs vs EDK,Paired t-test,1.6024997796695583e-13,** (p<0.01),0.2024,0.19567716729197274,0.20912283270802726
balance,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.19951999999999998,0.17707129431854987,0.22196870568145008
balance,ACC,OPNs vs CDK,Paired t-test,7.771563287228366e-12,** (p<0.01),0.21807999999999997,0.2069169273643321,0.22924307263566784
balance,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.07455999999999997,0.060950776942310325,0.08816922305768962
balance,ACC,OPNs vs KKM(l),Paired t-test,2.8189352142553035e-07,** (p<0.01),0.06271999999999997,0.052204886129558356,0.07323511387044158
balance,ACC,OPNs vs KKM(r),Paired t-test,1.3562662279843513e-05,** (p<0.01),0.07343999999999998,0.053900548484531796,0.09297945151546816
balance,ACC,OPNs vs TDEC,Paired t-test,8.288818585291232e-05,** (p<0.01),0.16116579999999997,0.10721807445710782,0.21511352554289212
balance,ACC,OPNs vs ZEUS,Paired t-test,1.7048618600595726e-06,** (p<0.01),0.2573971532,0.2041022608235574,0.31069204557644264
balance,ACC,OPNs vs IDC,Paired t-test,2.215612389570772e-09,** (p<0.01),-0.17152000000000006,-0.18806071277323427,-0.15497928722676585
weather,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.2727272727272728,0.24617788782352207,0.29927665763102357
weather,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.2636363636363638,0.23005375292742675,0.2972189743453008
weather,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.2590909090909092,0.23714413127522221,0.2810376869065962
weather,ACC,OPNs vs KKM(p),Paired t-test,3.221219618058112e-07,** (p<0.01),0.2818181818181819,0.23383302987885254,0.3298033337575113
weather,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.2681818181818183,0.22925277820713946,0.30711085815649714
weather,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.2772727272727274,0.23834368729804858,0.31620176724740623
weather,ACC,OPNs vs TDEC,Wilcoxon test,0.76953125,ns (Not Significant),0.002727190909090993,-0.06025322742853801,0.06570760924671999
weather,ACC,OPNs vs ZEUS,Wilcoxon test,0.3671875,ns (Not Significant),-0.042424242490909016,-0.13619309959825276,0.051344614616434726
weather,ACC,OPNs vs IDC,Wilcoxon test,0.896484375,ns (Not Significant),0.01090909090909098,-0.13290919912661256,0.15472738094479452
hayes_roth,ACC,OPNs vs EDK,Paired t-test,0.0001556644660379798,** (p<0.01),0.13875,0.08826332068646914,0.1892366793135309
hayes_roth,ACC,OPNs vs MDK,Paired t-test,0.00011066622049891875,** (p<0.01),0.16875,0.11007577176582381,0.2274242282341762
hayes_roth,ACC,OPNs vs CDK,Paired t-test,3.644890038758651e-05,** (p<0.01),0.18375,0.1284189172277902,0.2390810827722098
hayes_roth,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.12375,0.07039713001971934,0.17710286998028066
hayes_roth,ACC,OPNs vs KKM(l),Paired t-test,0.0003420858715626778,** (p<0.01),0.14375,0.08549365763470493,0.20200634236529505
hayes_roth,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.13499999999999998,0.07075325415337372,0.19924674584662624
hayes_roth,ACC,OPNs vs TDEC,Paired t-test,0.36013134829346294,ns (Not Significant),0.03493850000000001,-0.04703152226000974,0.11690852226000976
hayes_roth,ACC,OPNs vs ZEUS,Wilcoxon test,0.03515625,* (p<0.05),0.08544117650000001,0.0069707696242995165,0.1639115833757005
hayes_roth,ACC,OPNs vs IDC,Paired t-test,0.024692708411684007,* (p<0.05),-0.11749999999999998,-0.21621770509019306,-0.018782294909806888
phoneme,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.10573649148778683,0.10490113821283625,0.1065718447627374
phoneme,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.1325314581791266,0.13172311243681784,0.13333980392143535
phoneme,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.0951517394522576,0.09434339370994886,0.09596008519456635
phoneme,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.07387120651369358,0.07306286077138484,0.07467955225600233
phoneme,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.07387120651369358,0.07306286077138484,0.07467955225600233
phoneme,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.07387120651369358,0.07306286077138484,0.07467955225600233
phoneme,ACC,OPNs vs TDEC,Paired t-test,0.002072224421872161,** (p<0.01),0.11217950007401925,0.0527859819641307,0.1715730181839078
phoneme,ACC,OPNs vs ZEUS,Wilcoxon test,0.001953125,** (p<0.01),0.14799118477401924,0.1088866048114304,0.18709576473660805
phoneme,ACC,OPNs vs IDC,Paired t-test,0.00020594073207318595,** (p<0.01),-0.01813498890035632,-0.024988037944844135,-0.011281939855868502
monk_2,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.28379629629629627,0.2339094246154823,0.33368316797711023
monk_2,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.33055555555555555,0.3151635256472928,0.3459475854638183
monk_2,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.29583333333333334,0.24669968147445223,0.3449669851922144
monk_2,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.2833333333333333,0.24086942833190275,0.32579723833476393
monk_2,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.24351851851851852,0.18887152669145818,0.29816551034557887
monk_2,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.23055555555555554,0.16549201817780473,0.29561909293330635
monk_2,ACC,OPNs vs TDEC,Paired t-test,0.0012713054242335926,** (p<0.01),0.11756705555555555,0.059883015648010414,0.1752510954631007
monk_2,ACC,OPNs vs ZEUS,Paired t-test,2.3024520905578486e-09,** (p<0.01),0.28071411785555556,0.2535255345154167,0.3079027011956944
monk_2,ACC,OPNs vs IDC,Paired t-test,1.2790272095769165e-06,** (p<0.01),-0.1395593869731801,-0.16748864372856048,-0.11163013021779972
led7digit,ACC,OPNs vs EDK,Wilcoxon test,0.076171875,ns (Not Significant),0.02340000000000001,-0.014716882036204276,0.0615168820362043
led7digit,ACC,OPNs vs MDK,Paired t-test,0.05175411858285156,ns (Not Significant),0.039999999999999966,-0.00037667140048557035,0.0803766714004855
led7digit,ACC,OPNs vs CDK,Paired t-test,0.25362515972281535,ns (Not Significant),-0.018200000000000004,-0.05195898518556477,0.015558985185564766
led7digit,ACC,OPNs vs KKM(p),Paired t-test,0.029837072474429002,* (p<0.05),0.04199999999999998,0.005133083993606388,0.07886691600639358
led7digit,ACC,OPNs vs KKM(l),Paired t-test,0.28959353031140106,ns (Not Significant),0.021799999999999965,-0.022025690836017978,0.06562569083601791
led7digit,ACC,OPNs vs KKM(r),Paired t-test,0.730733294766375,ns (Not Significant),0.007400000000000006,-0.03974871969199299,0.054548719691993
led7digit,ACC,OPNs vs TDEC,Paired t-test,0.00020585802690919515,** (p<0.01),0.139354,0.08669625484926038,0.19201174515073963
led7digit,ACC,OPNs vs ZEUS,Paired t-test,0.040102850970174096,* (p<0.05),-0.055070588200000006,-0.10704590671386607,-0.003095269686133946
led7digit,ACC,OPNs vs IDC,Paired t-test,9.099763401395347e-07,** (p<0.01),-0.12560000000000002,-0.1497466366220165,-0.10145336337798352
appendicitis,ACC,OPNs vs EDK,Paired t-test,0.0007980374518259002,** (p<0.01),0.031132075471698106,0.016886898778597004,0.04537725216479921
appendicitis,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.07735849056603772,0.0673993080880637,0.08731767304401174
appendicitis,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.1301886792452831,0.12592045818329423,0.13445690030727198
appendicitis,ACC,OPNs vs KKM(p),Wilcoxon test,0.6875,ns (Not Significant),0.0037735849056603765,-0.012510422741430757,0.02005759255275151
appendicitis,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.05943396226415093,0.053877983569801516,0.06498994095850034
appendicitis,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.055660377358490554,0.050680786119503544,0.06063996859747756
appendicitis,ACC,OPNs vs TDEC,Paired t-test,9.48540996894365e-07,** (p<0.01),0.30017303584905664,0.24218212614964912,0.35816394554846415
appendicitis,ACC,OPNs vs ZEUS,Paired t-test,0.0003796138644874918,** (p<0.01),0.22240137234905663,0.13094675233190275,0.31385599236621053
appendicitis,ACC,OPNs vs IDC,Paired t-test,0.03316185376643872,* (p<0.05),-0.05214408233276159,-0.09908827819952754,-0.005199886465995646
ecoli,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.14077380952380952,0.11629141063106124,0.1652562084165578
ecoli,ACC,OPNs vs MDK,Paired t-test,2.9465897430258367e-06,** (p<0.01),0.15386904761904763,0.11986288390195785,0.1878752113361374
ecoli,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.2547619047619048,0.22324382581839544,0.28627998370541413
ecoli,ACC,OPNs vs KKM(p),Paired t-test,0.15533814107674979,ns (Not Significant),0.013095238095238071,-0.006005557755038743,0.03219603394551489
ecoli,ACC,OPNs vs KKM(l),Paired t-test,0.002012627509123642,** (p<0.01),0.02648809523809521,0.012528860612466096,0.040447329863724325
ecoli,ACC,OPNs vs KKM(r),Paired t-test,0.22732549651836864,ns (Not Significant),0.0077380952380952436,-0.005771935481598494,0.02124812595778898
ecoli,ACC,OPNs vs TDEC,Paired t-test,0.18455760876893995,ns (Not Significant),0.043452380952380944,-0.02495129619850709,0.11185605810326898
ecoli,ACC,OPNs vs ZEUS,Paired t-test,6.896750017199638e-10,** (p<0.01),0.36145594595238095,0.3308896576823761,0.3920222342223858
ecoli,ACC,OPNs vs IDC,Paired t-test,3.1003740052708874e-05,** (p<0.01),-0.14331232492997198,-0.18559100945349044,-0.10103364040645353
pima,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.07968749999999998,0.078384943311458,0.08099005668854196
pima,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.08476562500000002,0.0763029925575411,0.09322825744245895
pima,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.07369791666666668,0.05920655773224904,0.08818927560108433
pima,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.05638020833333333,0.04070733826083442,0.07205307840583224
pima,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.07213541666666666,0.062207669237149814,0.0820631640961835
pima,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.07526041666666666,0.06819663230016353,0.0823242010331698
pima,ACC,OPNs vs TDEC,Paired t-test,0.6616504380402941,ns (Not Significant),-0.009838199999999974,-0.05902671367036713,0.03935031367036719
pima,ACC,OPNs vs ZEUS,Paired t-test,1.9723427369693238e-05,** (p<0.01),0.19649478840000004,0.14172718187512734,0.25126239492487273
pima,ACC,OPNs vs IDC,Paired t-test,0.0913682094882648,ns (Not Significant),-0.021550324675324684,-0.04734708348976617,0.004246434139116802
cars,ACC,OPNs vs EDK,Paired t-test,5.811551765581302e-13,** (p<0.01),0.24005102040816326,0.23084783124288943,0.24925420957343708
cars,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.24336734693877554,0.23528821421429663,0.25144647966325445
cars,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.1193877551020408,0.06979161342017762,0.168983896783904
cars,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.021428571428571363,0.013349438704092442,0.029507704153050283
cars,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.04693877551020405,0.0359826783451047,0.0578948726753034
cars,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.04719387755102038,0.0400869518019095,0.054300803300131255
cars,ACC,OPNs vs TDEC,Wilcoxon test,0.005859375,** (p<0.01),-0.17525510204081635,-0.2568170046894742,-0.09369319939215849
cars,ACC,OPNs vs ZEUS,Paired t-test,1.163814386191e-05,** (p<0.01),0.17936028255918365,0.1325319451301271,0.22618861998824022
cars,ACC,OPNs vs IDC,Paired t-test,4.522548887261006e-06,** (p<0.01),-0.15959054505094294,-0.19672491603293735,-0.12245617406894854
saheart,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.06233766236493506,0.060579785148591116,0.064095539581279
saheart,ACC,OPNs vs MDK,Paired t-test,5.1654354601222404e-14,** (p<0.01),0.04458874461601734,0.04328302619989829,0.045894463032136394
saheart,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.04632034634761907,0.044824457979979256,0.047816234715258886
saheart,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.043506493533766274,0.043016849133077115,0.043996137934455434
saheart,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.043506493533766274,0.043016849133077115,0.043996137934455434
saheart,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.043506493533766274,0.043016849133077115,0.043996137934455434
saheart,ACC,OPNs vs TDEC,Paired t-test,0.0009331505966452282,** (p<0.01),0.09118614721341992,0.048483746669167486,0.13388854775767234
saheart,ACC,OPNs vs ZEUS,Paired t-test,0.05529266152416934,ns (Not Significant),0.06388364961341991,-0.0017890666733202942,0.12955636590016012
saheart,ACC,OPNs vs IDC,Paired t-test,7.691565751830912e-05,** (p<0.01),-0.06087836891561234,-0.08105848510282514,-0.04069825272839954
heart,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.012592592592592567,0.0072642953150304345,0.0179208898701547
heart,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.01888888892222219,0.018051052944358305,0.019726724900086076
heart,ACC,OPNs vs CDK,Paired t-test,7.786371159585677e-11,** (p<0.01),0.05148148148148143,0.048072450960505005,0.05489051200245785
heart,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.0174074074333333,0.013447949033176112,0.021366865833490487
heart,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.012222222214814782,0.007710337363801854,0.01673410706582771
heart,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.014814814818518474,0.008824954826944186,0.020804674810092762
heart,ACC,OPNs vs TDEC,Wilcoxon test,0.001953125,** (p<0.01),0.17711985555555554,0.1334352355664849,0.22080447554462618
heart,ACC,OPNs vs ZEUS,Paired t-test,0.00014863079009771524,** (p<0.01),0.1951058197555555,0.12455185084044179,0.2656597886706692
heart,ACC,OPNs vs IDC,Paired t-test,0.013778709867660992,* (p<0.05),0.049999999999999954,0.01292319369841876,0.08707680630158116
cleve,ACC,OPNs vs EDK,Wilcoxon test,0.8125,ns (Not Significant),0.0010135135135134865,-0.0038266876232238827,0.005853714650250856
cleve,ACC,OPNs vs MDK,Wilcoxon test,0.5625,ns (Not Significant),-0.0023648648648648017,-0.007205066001602171,0.0024753362718725677
cleve,ACC,OPNs vs CDK,Paired t-test,0.11112696121504292,ns (Not Significant),0.003716216216216206,-0.0010428584856221586,0.00847529091805457
cleve,ACC,OPNs vs KKM(p),Paired t-test,0.21463946262920652,ns (Not Significant),0.0030405405405405372,-0.0021114073580369395,0.008192488439118014
cleve,ACC,OPNs vs KKM(l),Paired t-test,0.20420473732861677,ns (Not Significant),0.003040540540540526,-0.001983864111322612,0.008064945192403663
cleve,ACC,OPNs vs KKM(r),Wilcoxon test,0.078125,ns (Not Significant),0.005405405405405406,3.75440084760181e-05,0.010773266802334792
cleve,ACC,OPNs vs TDEC,Paired t-test,6.457773181530866e-05,** (p<0.01),0.14598172432432432,0.0986781930327534,0.19328525561589527
cleve,ACC,OPNs vs ZEUS,Paired t-test,0.010178748902037243,* (p<0.05),0.07906570342432435,0.02384125917872694,0.13429014766992176
cleve,ACC,OPNs vs IDC,Paired t-test,0.016993205636830953,* (p<0.05),-0.02650900900900901,-0.047036032044746,-0.005981985973272021
cleveland,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.23535353536430983,0.2217071119667064,0.24899995876191328
cleveland,ACC,OPNs vs MDK,Paired t-test,1.9135737699352666e-09,** (p<0.01),0.21111111112188552,0.19108598910149216,0.23113623314227888
cleveland,ACC,OPNs vs CDK,Paired t-test,1.4041572787616209e-11,** (p<0.01),0.2383838383946128,0.22534863617029394,0.25141904061893167
cleveland,ACC,OPNs vs KKM(p),Paired t-test,0.8085608823868716,ns (Not Significant),0.001010101020538734,-0.008147542186504247,0.010167744227581713
cleveland,ACC,OPNs vs KKM(l),Paired t-test,0.4624764484386409,ns (Not Significant),0.003703703703703709,-0.007213553105029391,0.014620960512436809
cleveland,ACC,OPNs vs KKM(r),Paired t-test,0.05217724285131956,ns (Not Significant),0.008417508427946151,-9.821076329294236e-05,0.016933227619185247
cleveland,ACC,OPNs vs TDEC,Paired t-test,2.2384066363554515e-05,** (p<0.01),-0.13661300066296297,-0.17529719908503336,-0.09792880224089259
cleveland,ACC,OPNs vs ZEUS,Paired t-test,6.642443542243905e-07,** (p<0.01),0.17990131193703704,0.14657009765723764,0.21323252621683644
cleveland,ACC,OPNs vs IDC,Paired t-test,0.6333231543780463,ns (Not Significant),-0.00734006732962963,-0.04097073536024491,0.026290600700985656
wine,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),-0.016853932757303524,-0.01953317213504608,-0.01417469337956097
wine,ACC,OPNs vs MDK,Wilcoxon test,0.25,ns (Not Significant),0.0016853933325842508,-0.00025590009228309424,0.003626686757451596
wine,ACC,OPNs vs CDK,Paired t-test,5.486076164438298e-06,** (p<0.01),0.023595505444943675,0.01797548552750915,0.0292155253623782
wine,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),-0.01123595522921358,-0.015024971914900764,-0.007446938543526394
wine,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),-0.016292135004494546,-0.018573425130148345,-0.014010844878840748
wine,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),-0.0207865170269664,-0.022727810451833745,-0.018845223602099052
wine,ACC,OPNs vs TDEC,Paired t-test,2.6495560321217127e-07,** (p<0.01),0.2597527953325842,0.21651684355941828,0.3029887471057502
wine,ACC,OPNs vs ZEUS,Paired t-test,1.0063125280527898e-08,** (p<0.01),0.44850921623258416,0.3971840916425698,0.49983434082259853
wine,ACC,OPNs vs IDC,Wilcoxon test,0.005859375,** (p<0.01),-0.03776529355630468,-0.05650046701787949,-0.01903012009472987
vowel,ACC,OPNs vs EDK,Paired t-test,9.648868866626234e-11,** (p<0.01),0.26464646464242425,0.24669626585688037,0.28259666342796813
vowel,ACC,OPNs vs MDK,Paired t-test,3.948238745964109e-10,** (p<0.01),0.2728282828292929,0.25115762630002486,0.2944989393585609
vowel,ACC,OPNs vs CDK,Paired t-test,1.15781682048912e-11,** (p<0.01),0.2570707070666667,0.24331314170096396,0.2708282724323694
vowel,ACC,OPNs vs KKM(p),Paired t-test,2.479808686828579e-10,** (p<0.01),0.26050505050101014,0.2408650621757124,0.28014503882630787
vowel,ACC,OPNs vs KKM(l),Paired t-test,1.1422417172035115e-10,** (p<0.01),0.25292929292525257,0.2354467060385739,0.2704118798119312
vowel,ACC,OPNs vs KKM(r),Paired t-test,5.3818690090291166e-11,** (p<0.01),0.255353535349495,0.23912873246525312,0.2715783382337369
vowel,ACC,OPNs vs TDEC,Paired t-test,2.0860363589485196e-07,** (p<0.01),-0.1741411666707071,-0.20233484766060125,-0.14594748568081292
vowel,ACC,OPNs vs ZEUS,Paired t-test,9.633419268735241e-11,** (p<0.01),0.2712525253292929,0.2528575563143963,0.28964749434418946
vowel,ACC,OPNs vs IDC,Paired t-test,0.01635627624200068,* (p<0.05),-0.08404040404343435,-0.14859723932028535,-0.01948356876658336
penbased,ACC,OPNs vs EDK,Paired t-test,1.4176834822546322e-05,** (p<0.01),0.11526564774526929,0.08442967406311523,0.14610162142742333
penbased,ACC,OPNs vs MDK,Paired t-test,2.581831029811147e-07,** (p<0.01),0.14488719052678312,0.12084299061138334,0.1689313904421829
penbased,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.08739992717161571,0.061183499447556175,0.11361635489567525
penbased,ACC,OPNs vs KKM(p),Paired t-test,2.2433110378525372e-09,** (p<0.01),0.13746360985618633,0.12418857605700832,0.15073864365536432
penbased,ACC,OPNs vs KKM(l),Paired t-test,2.581831029811147e-07,** (p<0.01),0.14488719052678312,0.12084299061138334,0.1689313904421829
penbased,ACC,OPNs vs KKM(r),Paired t-test,4.113425908535058e-06,** (p<0.01),0.10199235802969434,0.07852996876489945,0.12545474729448922
penbased,ACC,OPNs vs TDEC,Paired t-test,1.0070379590026457e-06,** (p<0.01),0.26618946778922853,0.21440022862560373,0.31797870695285335
penbased,ACC,OPNs vs ZEUS,Paired t-test,3.8167015764244774e-11,** (p<0.01),0.3900597434892285,0.36621004229891374,0.41390944467954327
penbased,ACC,OPNs vs IDC,Paired t-test,0.00015557517454199026,** (p<0.01),-0.03532397874242221,-0.04817625291278228,-0.022471704572062143
vehicle,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.2179584507914636,0.1450040623108224,0.29091283927210476
vehicle,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.16429414819075436,0.09101946929533264,0.23756882708617608
vehicle,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.20117358080068345,0.12339484381601404,0.2789523177853529
vehicle,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.18970785973165272,0.11661632927629732,0.2627993901870081
vehicle,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.2146487581200688,0.1413511288165144,0.2879463874236232
vehicle,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.20389225689477328,0.12957357667229674,0.2782109371172498
vehicle,ACC,OPNs vs TDEC,Paired t-test,0.09857687989629454,ns (Not Significant),-0.06678684877898564,-0.14880177580589574,0.015228078247924465
vehicle,ACC,OPNs vs ZEUS,Paired t-test,0.00021665711810068189,** (p<0.01),0.18317141532101439,0.11347275426837601,0.2528700763736528
vehicle,ACC,OPNs vs IDC,Paired t-test,0.012107303258969889,* (p<0.05),-0.12656247819075034,-0.21801192098313268,-0.03511303539836799
hepatitis,ACC,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.14875,0.11438834897035707,0.1831116510296429
hepatitis,ACC,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.12375,0.12092230354643238,0.12657769645356762
hepatitis,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.2225,0.20864717308256345,0.23635282691743656
hepatitis,ACC,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.036249999999999984,0.03342230354643237,0.039077696453567595
hepatitis,ACC,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.036249999999999984,0.03342230354643237,0.039077696453567595
hepatitis,ACC,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.036249999999999984,0.03342230354643237,0.039077696453567595
hepatitis,ACC,OPNs vs TDEC,Paired t-test,1.6561866076404822e-11,** (p<0.01),0.40802170000000004,0.3852953888435491,0.430748011156451
hepatitis,ACC,OPNs vs ZEUS,Paired t-test,3.927730343221782e-05,** (p<0.01),0.24597222219999998,0.17119734060855138,0.32074710379144855
hepatitis,ACC,OPNs vs IDC,Paired t-test,0.0012596041992879031,** (p<0.01),-0.06999999999999999,-0.10429695194940643,-0.03570304805059356
segment,ACC,OPNs vs EDK,Paired t-test,4.14329779337688e-05,** (p<0.01),0.09792207792900437,0.06795064906204902,0.1278935067959597
segment,ACC,OPNs vs MDK,Paired t-test,8.404799340931071e-06,** (p<0.01),0.07441558441601732,0.055747092713225546,0.0930840761188091
segment,ACC,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.09774891774891778,0.08203832511059755,0.113459510387238
